date,actual_balances,required_reserves_avg,averaging_period_days,spread,ruonia_rate,ruonia_transactions_volume,ruonia_transactions_count,ruonia_participants_count
01-09-2004,195.45666666666665,8.7,30,186.75666666666666,,,,
01-10-2004,231.54032258064515,9.1,31,222.44032258064516,,,,
01-11-2004,282.4883333333334,11.5,30,270.9883333333334,,,,
01-12-2004,368.25967741935483,12.0,31,356.25967741935483,,,,
01-01-2005,356.6758064516129,12.7,31,343.9758064516129,,,,
01-02-2005,265.6303571428571,13.2,28,252.43035714285713,,,,
01-03-2005,286.12580645161296,13.4,31,272.725806451613,,,,
01-04-2005,258.43000000000006,12.9,30,245.53000000000006,,,,
01-05-2005,239.0129032258064,14.4,31,224.6129032258064,,,,
01-06-2005,242.8233333333333,15.1,30,227.7233333333333,,,,
01-07-2005,246.86612903225807,15.8,31,231.06612903225806,,,,
01-08-2005,267.33225806451617,16.3,31,251.03225806451616,,,,
01-09-2005,297.8116666666666,16.8,30,281.0116666666666,,,,
01-10-2005,317.6854838709677,16.9,31,300.7854838709677,,,,
01-11-2005,274.835,16.5,30,258.335,,,,
01-12-2005,366.5193548387097,17.9,31,348.61935483870974,,,,
01-01-2006,399.04193548387104,19.2,31,379.84193548387105,,,,
01-02-2006,326.26785714285717,19.2,28,307.0678571428572,,,,
01-03-2006,325.8451612903226,19.5,31,306.3451612903226,,,,
01-04-2006,323.41666666666663,20.2,30,303.21666666666664,,,,
01-05-2006,353.9483870967741,20.7,31,333.24838709677414,,,,
01-06-2006,365.7316666666666,21.6,30,344.1316666666666,,,,
01-07-2006,388.3499999999999,22.5,31,365.8499999999999,,,,
01-08-2006,357.31935483870967,23.7,31,333.6193548387097,,,,
01-09-2006,356.32666666666665,23.9,30,332.4266666666667,,,,
01-10-2006,359.7225806451612,38.0,31,321.7225806451612,,,,
01-11-2006,337.58166666666676,40.3,30,297.28166666666675,,,,
01-12-2006,492.6870967741936,43.2,31,449.4870967741936,,,,
01-01-2007,506.716129032258,46.5,31,460.216129032258,,,,
01-02-2007,405.04642857142863,71.2,28,333.84642857142865,,,,
01-03-2007,595.0354838709678,73.4,31,521.6354838709678,,,,
01-04-2007,426.55,76.8,30,349.75,,,,
01-05-2007,430.23225806451615,81.7,31,348.53225806451616,,,,
01-06-2007,470.68,90.0,30,380.68,,,,
01-07-2007,480.4548387096775,112.9,31,367.5548387096775,,,,
01-08-2007,445.38548387096773,118.9,31,326.48548387096776,,,,
01-09-2007,466.82166666666666,118.6,30,348.2216666666667,,,,
01-10-2007,491.0822580645161,96.8,31,394.2822580645161,,,,
01-11-2007,510.56666666666655,122.5,30,388.06666666666655,,,,
01-12-2007,704.7806451612904,124.1,31,580.6806451612904,,,,
01-01-2008,673.1822580645161,130.8,31,542.382258064516,,,,
01-02-2008,521.343103448276,178.5,29,342.843103448276,,,,
01-03-2008,556.333870967742,225.9,31,330.433870967742,,,,
01-04-2008,550.2016666666669,227.9,30,322.30166666666696,,,,
01-05-2008,580.0983870967742,239.2,31,340.89838709677423,,,,
01-06-2008,607.4316666666667,243.2,30,364.23166666666674,,,,
01-07-2008,606.109677419355,312.6,31,293.50967741935494,,,,
01-08-2008,618.6161290322582,319.6,31,299.01612903225816,,,,
01-09-2008,731.9016666666668,150.4,30,581.5016666666668,,,,
01-10-2008,581.0548387096775,42.1,31,538.9548387096775,,,,
01-11-2008,590.0933333333335,37.6,30,552.4933333333335,,,,
01-12-2008,644.1112903225807,37.5,31,606.6112903225807,,,,
01-01-2009,681.2741935483872,37.0,31,644.2741935483872,,,,
01-02-2009,413.47499999999997,39.1,28,374.37499999999994,,,,
01-03-2009,397.4209677419355,41.8,31,355.6209677419355,,,,
01-04-2009,388.27666666666676,40.9,30,347.3766666666668,,,,
01-05-2009,400.1758064516129,39.8,31,360.3758064516129,,,,
01-06-2009,419.2733333333334,78.8,30,340.4733333333334,,,,
01-07-2009,406.241935483871,121.7,31,284.541935483871,,,,
01-08-2009,465.2096774193549,163.2,31,302.0096774193549,,,,
01-09-2009,501.8866666666668,199.9,30,301.9866666666668,,,,
01-10-2009,535.8499999999999,199.7,31,336.1499999999999,,,,
01-11-2009,561.63,195.4,30,366.23,,,,
10-12-2009,713.198387096774,195.0,31,518.198387096774,,,,
10-01-2010,528.7338709677418,200.3,31,328.4338709677418,,,,
10-02-2010,476.2196428571429,203.5,28,272.7196428571429,,,,
10-03-2010,510.71935483870965,197.1,31,313.6193548387097,,,,
10-04-2010,500.5516666666666,185.6,30,314.9516666666666,,,,
10-05-2010,504.333870967742,205.3,31,299.03387096774196,,,,
10-06-2010,572.0433333333334,206.8,30,365.2433333333334,2.41,35.44,,
10-07-2010,494.29999999999995,207.8,31,286.49999999999994,,,,
10-08-2010,491.04516129032237,217.3,31,273.74516129032236,2.59,44.29,,
10-09-2010,502.83,219.8,30,283.03,2.57,55.12,,
10-10-2010,511.6387096774194,225.7,31,285.9387096774194,,,,
10-11-2010,523.14,227.5,30,295.64,2.7,60.78,,
10-12-2010,755.3887096774195,233.1,31,522.2887096774194,2.7,79.59,,
